# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	26489	27914	+							CNA00075	1426		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	26489	27914	+			ALO60283.1	hypothetical protein			CNA00075	1138		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	26531	27457	+	ALO60283.1			hypothetical protein			CNA00075	639	212	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	28039	29480	+							CNA00080	1442		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	28039	29480	+			AAW41428.1	expressed protein			CNA00080	1362		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	28562	29277	+	AAW41428.1			expressed protein			CNA00080	636	211	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	29947	31102	+							CNA00090	1156		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	29947	31102	+			AAW40622.2	conserved hypothetical protein			CNA00090	767		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	30054	30697	+	AAW40622.2			conserved hypothetical protein			CNA00090	255	84	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	31136	34454	-							CNA00100	3319		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	31136	34454	-			AAW41411.2	expressed protein			CNA00100	2938		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	31375	34233	-	AAW41411.2			expressed protein			CNA00100	2478	825	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	35826	38610	+							CNA00110	2785		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	35826	38610	+			AAW41429.1	conserved hypothetical protein			CNA00110	2518		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	35862	38540	+	AAW41429.1			conserved hypothetical protein			CNA00110	2412	803	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	38569	39057	-							CNA00120	489		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	38569	39057	-			AAW41258.2	chaperone, putative			CNA00120	399		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	38666	39025	-	AAW41258.2			chaperone, putative			CNA00120	270	89	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	39158	43081	+							CNA00130	3924		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	39158	43081	+			AAW40623.2	expressed protein			CNA00130	3320		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	39176	42770	+	AAW40623.2			expressed protein			CNA00130	2991	996	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	42985	45210	-							CNA00140	2226		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	42985	45210	-			AAW40624.1	adenosylmethionine decarboxylase, putative			CNA00140	2071		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	43545	45082	-	AAW40624.1			adenosylmethionine decarboxylase, putative			CNA00140	1383	460	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	45276	46793	-							CNA00150	1518		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	45276	46793	-			AAW40625.1	holocytochrome-c synthase, putative			CNA00150	1363		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	45806	46776	-	AAW40625.1			holocytochrome-c synthase, putative			CNA00150	816	271	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	46995	48617	-							CNA00160	1623		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	46995	48617	-			ALO60284.1	conserved hypothetical protein			CNA00160	1360		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	46995	48617	-			AAW40626.2				CNA00160	1447		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	47087	48407	-	ALO60284.1			conserved hypothetical protein			CNA00160	1101	366	
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	47087	48299	-	AAW40626.2			conserved hypothetical protein			CNA00160	1080	359	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	50135	54254	+							CNA00170	4120		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	50135	54254	+			AAW40627.1	expressed protein			CNA00170	3743		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	50135	54254	+			AAW40628.1	expressed protein			CNA00170	3666		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	50135	54254	+			ALO60285.1	expressed protein			CNA00170	3683		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	50923	53449	+	AAW40628.1			expressed protein			CNA00170	2250	749	
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	50923	53339	+	AAW40627.1			expressed protein			CNA00170	2217	738	
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	50923	53339	+	ALO60285.1			expressed protein			CNA00170	2157	718	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	54488	57404	-							CNA00180	2917		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	54488	57404	-			AAW40631.1	calcium ion transporter, putative			CNA00180	2274		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	54488	57404	-			AAW40630.1	calcium ion transporter, putative			CNA00180	2349		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	54736	57178	-	AAW40631.1			calcium ion transporter, putative			CNA00180	1800	599	
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	54736	57124	-	AAW40630.1			calcium ion transporter, putative			CNA00180	1821	606	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	57717	59788	-							CNA00190	2072		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	57717	59788	-			AAW40632.1	aminotransferase, putative			CNA00190	1583		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	57786	59464	-	AAW40632.1			aminotransferase, putative			CNA00190	1383	460	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	60460	63456	+							CNA00200	2997		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	60460	63456	+			AAW40636.2	transcriptional activator, putative			CNA00200	2614		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	60562	63152	+	AAW40636.2			transcriptional activator, putative			CNA00200	2208	735	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	64202	66562	-							CNA00210	2361		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	64202	66562	-			AAW40637.1	hypothetical protein			CNA00210	1821		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	64305	66329	-	AAW40637.1			hypothetical protein			CNA00210	1485	494	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	66867	68238	+							CNA00220	1372		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	66867	68238	+			AAW40638.2	D-3-phosphoglycerate dehydrogenase, putative			CNA00220	1152		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	66911	68204	+	AAW40638.2			D-3-phosphoglycerate dehydrogenase, putative			CNA00220	1074	357	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	68527	69847	+							CNA00225	1321		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	68527	69847	+			ALO60286.1	hypothetical protein			CNA00225	1030		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	68558	69784	+	ALO60286.1			hypothetical protein			CNA00225	936	311	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	69840	73057	-							CNA00230	3218		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	69840	73057	-			AAW40639.2	expressed protein			CNA00230	2619		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	69925	72968	-	AAW40639.2			expressed protein			CNA00230	2445	814	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	73171	74308	+							CNA00240	1138		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	73171	74308	+			AAW40640.1	aldolase, putative			CNA00240	1043		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	73395	74293	+	AAW40640.1			aldolase, putative			CNA00240	804	267	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	75585	76906	+							CNA00250	1322		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	75585	76906	+			AAW40641.1	60s ribosomal protein l9, putative			CNA00250	715		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	75804	76827	+	AAW40641.1			60s ribosomal protein l9, putative			CNA00250	576	191	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	78361	83367	+							CNA00260	5007		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	78361	83367	+			AAW41257.2	expressed protein			CNA00260	3853		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	81028	82734	+	AAW41257.2			expressed protein			CNA00260	1479	492	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	83175	84928	-							CNA00270	1754		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	83175	84928	-			AAW40642.2	sec14 cytosolic factor, putative			CNA00270	1305		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	83529	84847	-	AAW40642.2			sec14 cytosolic factor, putative			CNA00270	870	289	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	89520	91165	-							CNA00280	1646		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	89520	91165	-			AAW40643.1	alcohol dehydrogenase, putative			CNA00280	1270		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	89620	91093	-	AAW40643.1			alcohol dehydrogenase, putative			CNA00280	1098	365	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	94106	99392	+							CNA00290	5287		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	94106	99392	+			AAW40644.1	conserved hypothetical protein			CNA00290	3802		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	96258	98817	+	AAW40644.1			conserved hypothetical protein			CNA00290	2448	815	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	99512	101925	+							CNA00300	2414		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	99512	101925	+			AAW40645.1	sterol 14-demethylase, putative			CNA00300	1956		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	99621	101731	+	AAW40645.1			sterol 14-demethylase, putative			CNA00300	1653	550	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	101895	104228	-							CNA00310	2334		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	101895	104228	-			ALO60287.1	expressed protein			CNA00310	1774		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	101895	104228	-			AAW41259.2	expressed protein			CNA00310	1829		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	102039	104181	-	AAW41259.2			expressed protein			CNA00310	1638	545	
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	102039	104097	-	ALO60287.1			expressed protein			CNA00310	1554	517	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	104530	106919	-							CNA00320	2390		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	104530	106919	-			AAW41265.1	expressed protein			CNA00320	2318		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	104898	106913	-	AAW41265.1			expressed protein			CNA00320	1944	647	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	107100	110956	+							CNA00330	3857		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	107100	110956	+			AAW40646.1	glutamate-cysteine ligase, putative			CNA00330	3520		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	107173	110857	+	AAW40646.1			translation elongation factor 2, putative			CNA00330	3348	1115	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	110962	112420	-							CNA00340	1459		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	110962	112420	-			AAW40647.1	expressed protein			CNA00340	1322		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	110998	112388	-	AAW40647.1			expressed protein			CNA00340	1254	417	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	112605	114217	+							CNA00350	1613		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	112605	114217	+			AAW40648.1	proteasome regulatory subunit 12, putative			CNA00350	1296		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	112656	114025	+	AAW40648.1			proteasome regulatory subunit 12, putative			CNA00350	1053	350	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	114123	116531	-							CNA00360	2409		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	114123	116531	-			AAW41266.1	hypothetical protein			CNA00360	1707		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	114255	116345	-	AAW41266.1			hypothetical protein			CNA00360	1389	462	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	116724	119627	-							CNA00370	2904		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	116724	119627	-			AAW40649.2	hexose transport-related protein, putative			CNA00370	2118		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	116872	118899	-	AAW40649.2			hexose transport-related protein, putative			CNA00370	1623	540	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	119468	121393	+							CNA00380	1926		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	119468	121393	+			AAW40650.1	hypothetical protein			CNA00380	1521		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	119952	121269	+	AAW40650.1			hypothetical protein			CNA00380	978	325	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	121315	122743	-							CNA00390	1429		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	121315	122743	-			AAW40651.2	conserved hypothetical protein			CNA00390	1163		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	121386	122557	-	AAW40651.2			conserved hypothetical protein			CNA00390	906	301	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	122982	129542	-							CNA00400	6561		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	122982	129542	-			AAW40652.2	histone deacetylation-related protein, putative			CNA00400	6043		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	123083	128239	-	AAW40652.2			histone deacetylation-related protein, putative			CNA00400	4992	1663	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	128832	129625	+							CNA00410	794		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	128832	129625	+			AAW41407.1	expressed protein			CNA00410	571		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	128929	129372	+	AAW41407.1			expressed protein			CNA00410	285	94	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	129721	131335	+							CNA00420	1615		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	129721	131335	+			AAW41260.1	expressed protein			CNA00420	1280		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	129882	130656	+	AAW41260.1			expressed protein			CNA00420	531	176	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	130685	131844	-							CNA00430	1160		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	130685	131844	-			AAW40653.1	conserved hypothetical protein			CNA00430	1008		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	130842	131710	-	AAW40653.1			conserved hypothetical protein			CNA00430	717	238	
gene	other	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	132051	133461	+							CNA00450	1411		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	132051	133461	+							CNA00450	1301		
gene	pseudogene	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	132063	132917	-							CNA00440	855		pseudo
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	133655	135951	+							CNA00460	2297		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	133655	135951	+			AAW40655.1	expressed protein			CNA00460	2185		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	133771	135907	+	AAW40655.1			expressed protein			CNA00460	2025	674	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	136220	137816	-							CNA00470	1597		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	136220	137816	-			AAW40656.1	fructose-bisphosphatase, putative			CNA00470	1299		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	136372	137722	-	AAW40656.1			fructose-bisphosphatase, putative			CNA00470	1053	350	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	138008	140770	-							CNA00480	2763		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	138008	140770	-			AAW40657.1	T-complex protein 1 epsilon subunit, putative			CNA00480	1733		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	138048	140724	-	AAW40657.1			T-complex protein 1 epsilon subunit, putative			CNA00480	1647	548	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	140963	142003	+							CNA00485	1041		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	140963	142003	+			ALO60288.1	hypothetical protein			CNA00485	891		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	141003	141944	+	ALO60288.1			hypothetical protein			CNA00485	792	263	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	141965	143609	-							CNA00490	1645		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	141965	143609	-			AAW40658.2	chaperone regulator, putative			CNA00490	1342		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	142052	143566	-	AAW40658.2			chaperone regulator, putative			CNA00490	1212	403	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	143821	145711	+							CNA00510	1891		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	143821	145711	+			AAW40659.1	citrate synthase, putative			CNA00510	1611		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	143862	145536	+	AAW40659.1			citrate synthase, putative			CNA00510	1395	464	
gene	pseudogene	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	143963	146366	-							CNA00500	2404		pseudo
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	146866	149723	-							CNA00520	2858		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	146866	149723	-			AAW40660.2	peptide-binding protein, putative			CNA00520	2566		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	146917	149689	-	AAW40660.2			peptide-binding protein, putative			CNA00520	2481	826	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	150778	152846	-							CNA00530	2069		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	150778	152846	-			AAW40661.1	hypothetical protein			CNA00530	1738		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	150897	152820	-	AAW40661.1			hypothetical protein			CNA00530	1593	530	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	153018	154595	+							CNA00540	1578		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	153018	154595	+			AAW40662.2	hypothetical protein			CNA00540	1112		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	153345	154290	+	AAW40662.2			hypothetical protein			CNA00540	480	159	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	154609	155802	-							CNA00550	1194		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	154609	155802	-			AAW40663.1	COPII-coated vesicle protein, putative			CNA00550	789		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	154705	155694	-	AAW40663.1			COPII-coated vesicle protein, putative			CNA00550	585	194	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	156020	157681	+							CNA00560	1662		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	156020	157681	+			AAW40664.1	hypothetical protein			CNA00560	909		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	156198	157539	+	AAW40664.1			hypothetical protein			CNA00560	717	238	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	157802	162332	-							CNA00570	4531		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	157802	162332	-			AAW40665.2	DNA-binding protein cre-1, putative			CNA00570	4375		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	158119	162064	-	AAW40665.2			membrane protein, putative			CNA00570	3855	1284	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	162682	163946	+							CNA00580	1265		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	162682	163946	+			AAW41412.2	conserved hypothetical protein			CNA00580	646		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	162851	163636	+	AAW41412.2			conserved hypothetical protein			CNA00580	213	70	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	167188	171227	+							CNA00590	4040		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	167188	171227	+			AAW41262.2	specific RNA polymerase II transcription factor, putative			CNA00590	2920		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	167864	170718	+	AAW41262.2			specific RNA polymerase II transcription factor, putative			CNA00590	1815	604	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	171331	172762	+							CNA00600	1432		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	171331	172762	+			AAW41261.2	expressed protein			CNA00600	1432		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	171452	172408	+	AAW41261.2			expressed protein			CNA00600	957	318	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	173968	176206	+							CNA00610	2239		
